date,identifier,tweets
2022-01-11 19:05:05+00:00,c,"David Kostin, our chief U.S. equity strategist, speaks to @CNBC on why faster growing companies with high profit margins in technology, banking, and healthcare are set to be among the better performing stocks as interest rates climb modestly in 2022. https://t.co/AQmoGDLbxx"
2022-01-11 18:27:48+00:00,c,"Jeff Currie, our global head of commodities research, comments on how a carbon tax could support effective investment in the green economy.

Read our Accelerating Transition report for more: https://t.co/KFKfIWuCGe https://t.co/cZ8tVMA8Eu"
2022-01-11 16:25:18+00:00,c,"Our chief economist and head of Global Investment Research, Jan Hatzius, comments on the impact of Omicron to economic growth, based on our lockdown index.

Read more: https://t.co/h3lPAJJxZS https://t.co/gpGokOZJcD"
2022-01-11 14:50:40+00:00,c,"Peter Oppenheimer, our chief global equity strategist, speaks with @CNBC about the prospects for the UK’s FTSE 100 Index as we kick off our virtual Global Strategy Conference, where our senior economists and strategists outline their views for 2022. https://t.co/kXvH6zfjiq https://t.co/oKjK3qLOtl"
2022-01-10 20:18:40+00:00,c,Our consumer portfolio has officially expanded! Learn about the all-new My GM Rewards Card that offers unlimited 4X points with every purchase. Learn more at https://t.co/fx2e3Tvgt7. https://t.co/m9EGNGcdCa
2022-01-10 08:33:36+00:00,c,"Watch Andrew Tilton, $GS' chief Asia Pacific economist, discuss how Fed policy could impact economies across the region on @CNBC: https://t.co/Wl8YCSjltL"
2022-01-04 18:00:13+00:00,c,Will the M&amp;A boom continue? $GS' Stephan Feldgoise looks at the factors likely to drive activity in 2022: https://t.co/Q0uT4pDsUs https://t.co/aCkJjjSwXJ
2022-01-04 15:00:08+00:00,c,"We’re helping @Apple identify nature-based investments that support its net-zero ambitions.

See our Accelerating Transition report for more: https://t.co/hx6GMgPtFz #GSsustainability https://t.co/iHg1452JZQ"
2022-01-04 07:44:16+00:00,c,"Watch Hui Shan, $GS' chief China economist, discuss China’s outlook in 2022 under the threat of Omicron and a slower housing market on @BloombergTV. https://t.co/7j1mKJkQyC https://t.co/qqSCrnx57Z"
2021-12-22 15:00:17+00:00,c,Former @bankofengland Governor @MarkJCarney explains why the private sector plays a critical role in the green transition: https://t.co/1Z8I3WTf32 https://t.co/XCZyLBN76d
2021-12-21 16:00:08+00:00,c,"Download our newly released TCFD report, Accelerating Transition, which outlines our work with clients to help drive climate transition: https://t.co/ks8wMte6te #GSsustainability https://t.co/BvM8DJq6XO"
2021-12-20 21:27:57+00:00,c,"We're redefining financial services with industry-leading @awscloud services and @gsdeveloper. 

Discover more: https://t.co/eX4VOLkzSl https://t.co/k21amsHDM1"
2021-12-20 21:00:00+00:00,c,"Watch @asahi_pompey, global head of Corporate Engagement and president of the Goldman Sachs Foundation, discuss the challenges faced by small businesses, including access to capital on @BloombergTV: https://t.co/Td4N4Uo4Xl"
2021-12-20 08:46:55+00:00,c,"Watch Kenneth Ho, $GS' head of Asia credit strategy, explain why a focus on companies’ revenue streams and cash positions can help investors navigate China’s credit market:
https://t.co/mO0JRIbFLx"
2021-12-19 16:00:07+00:00,c,Former professional tennis player Mardy Fish reflects on the mental health challenges he experienced at the height of his tennis career: https://t.co/FqyWHsREH1 #TalksAtGS https://t.co/YDD4g8Hdzz
2021-12-18 19:00:08+00:00,c,"Sumayya Vally, founder and director of @_counterspace, discusses the importance of architecture in bringing communities together: https://t.co/rzDpQDAdah #TalksAtGS https://t.co/KY2CN6lfqz"
2021-12-17 15:44:40+00:00,c,".@patrick_cantlay, 2021 PGA TOUR Player of the Year, reflects on his wins during the 2020-2021 season: https://t.co/1BOgOFDdYy #TalksatGS https://t.co/qS9pUvahLT"
2021-12-16 20:55:41+00:00,c,"Our TCFD report: Accelerating Transition outlines our work with clients to help drive climate transition. #GSsustainability 

Learn more: https://t.co/HjP7RdNCWx https://t.co/qbTfNTv3Vm"
2021-12-15 18:00:17+00:00,c,"Dr. Scott Gottlieb, author of “Uncontrolled Spread” and Pfizer board member, discusses the transmissibility and virulence of the Omicron variant. https://t.co/CNzU5c5BSr #TalksAtGS https://t.co/xZ50eXvi8C"
2021-12-15 08:33:52+00:00,c,"Watch Hui Shan, $GS' chief China economist, explain why she thinks there needs to be more easing if China’s growth is to meet policymakers’ targets on @CNBC:
https://t.co/pRU6FmP6e7"
2021-12-14 20:00:12+00:00,c,How are retirement programs evolving to take a more holistic approach to saving? $GS' Mike Moran explains changes in the retirement landscape: https://t.co/BatAXrvUpb https://t.co/Gr69BPIyAR
2021-12-14 01:59:28+00:00,c,"Watch Tim Moe, $GS' chief APAC equity strategist, discuss three reasons to be optimistic on ASEAN stocks into next year on @CNBC:
https://t.co/oKBnZyuOPW"
2021-12-13 18:54:36+00:00,c,"We start the week proud to congratulate our newly promoted vice presidents/executive directors, associates, and senior analysts. Thank you for your countless contributions and for your continued commitment to our collective success. 👏 

Please join us in celebrating them! https://t.co/PWkNQpDKSN"
2021-12-11 17:00:14+00:00,c,.@MielleOrganics CEO Monique Rodriguez outlines what it takes to be a successful entrepreneur: https://t.co/lB9hPWJJZp #TalksAtGS https://t.co/YXfyQ614aY
2021-12-10 18:24:00+00:00,c,"@patrick_cantlay So great to have you with us, PC!"
2021-12-10 17:52:16+00:00,c,Honored to receive these awards by @FinTech_Futures that reflect the breadth of innovation across our firm. Congrats to Goldman Sachs Transaction Banking and #GSEngineering–as well as our partners at @FINOSFoundation–for their excellent work! https://t.co/AcGPzidh8N https://t.co/ZMRKNCO4wh
2021-12-09 19:49:13+00:00,c,"And the winner goes to Team New York and Salt Lake City! The team secured $250,000 for their nonprofit of choice, @limeconnect. The organization prepares and connects students with disabilities to scholarships and employment opportunities. Well deserved! https://t.co/0utCVui1Ad"
2021-12-09 12:25:00+00:00,c,"We’re live! Our sixth annual Analyst Impact Fund is kicking off at 7:30AM ET. Tune in now and watch the four finalist teams compete for a $250,000 grant for their nonprofit of choice: https://t.co/tlsC3hW1pR #GSGives"
2021-12-09 06:31:08+00:00,c,"Watch Santanu Sengupta, $GS' senior India economist, discuss our views on the RBI’s monetary policy and the INR on @CNBC:
https://t.co/xwfFDvsNAq"
2021-12-09 02:32:36+00:00,c,".@MasaYanagisawa, COO of our APAC LGBTQ+ Network Council, addresses the importance of Tokyo’s move to introduce same-sex partnerships.
Read more about the milestone: https://t.co/ClOSW2lacZ"
2021-12-08 21:48:16+00:00,c,And @limeconnect represented by our New York and Salt Lake City team! This organization prepares and connects highly motivated students to scholarships and employment opportunities with the world’s leading corporations. https://t.co/RF3tySBKES
2021-12-08 21:48:13+00:00,c,"Our team in Bengaluru will be presenting @trust_prasanna, an educational organization serving marginalized individuals since 1982 to provide tools for growth. https://t.co/SBafHBuDeo"
2021-12-08 21:48:09+00:00,c,".@HelloWorld_Org partners with remote communities to build solar hubs that allow children to learn, access, and improve their future with digital educational resources. Meet the London team. 👋 https://t.co/VN346mERbX"
2021-12-08 21:48:05+00:00,c,"Our Dallas team is representing @WeAreDivInc, an organization bridging the gap between underrepresented entrepreneurs and the access to resources they need to build profitable companies. https://t.co/CjHT2SShJt"
2021-12-08 21:48:02+00:00,c,"Watch our Analyst Impact Fund competition live tomorrow! Four teams will pitch on behalf of their nonprofits of choice for the chance to win $250,000 for their organization. We'll tweet the livestream link here at 7:30AM ET—tune in! #GSGives"
2021-12-07 18:24:51+00:00,c,"David Solomon, our Chairman and CEO, discusses the future of the markets with @SquawkCNBC. 

Check it out👇https://t.co/PGvOQOAfA7 https://t.co/UZP9HZr2e4"
2021-12-07 17:00:18+00:00,c,$GS' Tim Moe explains why India’s economy is expected to expand next year in the latest Exchanges at Goldman Sachs: https://t.co/lvWLncwGag https://t.co/z1bXPGyZE9
2021-12-07 07:51:59+00:00,c,"Watch Kenneth Ho, $GS' head of Asia Credit Strategy, share investment tactics for the regional credit market into 2022 on @BloombergTV: https://t.co/6Kyr5uwJqK https://t.co/IPoQosNNBN"
2021-12-03 08:16:14+00:00,c,"Watch Andrew Tilton, $GS' chief APAC economist, discuss the regional outlook for inflation and monetary policy following signs of a shift in the Fed’s stance: https://t.co/FLuQM6vIri"
2021-12-03 06:06:19+00:00,c,@EdwardNorton joined our APAC Sustainability Conference last week: “It’s make or break if the people who understand capital deployment don’t get behind the conviction that sustainability is not only essential but probably one of the best market opportunities of our lifetime.” https://t.co/yPHQ0vmAXy
2021-12-02 23:48:10+00:00,c,"We're thrilled to share Goldman Sachs Financial Cloud for Data with @awscloud and @gsdeveloper.  

https://t.co/3FI5SN9KXh https://t.co/5gewuozHQa"
2021-12-02 18:30:01+00:00,c,"We’re committed to understanding what’s important to our clients—how they live, play varied roles and manage finances. Introducing In the Lead our new platform designed to help ultra-high net worth women to take the lead in all aspects of their lives. https://t.co/LFfsPd2hoW https://t.co/7FAilrK1WU"
2021-12-01 19:48:33+00:00,c,@gsdeveloper @AWSreInvent 🎉!!!
2021-12-01 10:28:35+00:00,c,"Watch Kinger Lau, $GS' Chief China Equity Strategist, explain why we believe there is still upside potential in Chinese equity markets on @BloombergTV: https://t.co/AWUF3pZC2s https://t.co/4RQC6GyRwu"
2021-11-30 22:11:58+00:00,c,Today we unveiled our new collaboration with @awscloud redefining how clients can discover and analyze data in the cloud. Read more from Chairman and CEO David Solomon on @CNBC. https://t.co/LB6OlQQLeh
2021-11-30 18:43:28+00:00,c,"We're proud to announce the launch of Goldman Sachs Financial Cloud for Data with @awscloud, a new suite of cloud-based data and analytics solutions for financial institutions. https://t.co/fsLaRLb0Fq"
2021-11-30 01:20:25+00:00,c,@gsdeveloper Go team! 🙌
2021-11-28 16:00:13+00:00,c,".@sebastianjunger, journalist and author of “Freedom,” reflects on his time covering the Afghan resistance to the Taliban before 9/11: https://t.co/KjB80Y8I2G #TalksAtGS https://t.co/kVDdsfxcAG"
2021-11-24 16:00:14+00:00,c,Are behaviors changing in response to higher inflation? @Allianz' @elerianm discusses why he is worried about inflationary pressures with @AllisonNathanGS: https://t.co/ieuc9hnUYr https://t.co/E5nBke5Q0W
2021-11-24 09:25:33+00:00,c,"Watch Tim Moe, $GS' chief APAC equity strategist, explain where we see most upside in regional equity markets next year on @BloombergTV: https://t.co/s2qbOGSh8N https://t.co/55nIPGYkjp"
2021-11-23 23:30:01+00:00,c,Learn about the wide-ranging variables playing a part in the push to a net-zero carbon future–from government action to tech innovation to market pressures: https://t.co/97psoU7GYa #GSsustainability https://t.co/UBjwaFPPBw
2021-11-23 10:18:46+00:00,c,"Watch Kenneth Ho, $GS' chief APAC credit strategist, discuss the China property sector and the outlook for the global credit market next year on @CNBC: https://t.co/fqy9rzCZ6v"
2021-11-23 08:08:01+00:00,c,"Watch Goohoon Kwon, $GS' senior Asia economist, discuss the outlook on monetary policy normalization in South Korea and the central bank’s role in the overheated housing market on @CNBC:
https://t.co/Jm5Kttl03Z"
2021-11-23 00:00:33+00:00,c,Attending @AWSreInvent? Follow @gsdeveloper for #reInvent updates—and learn how we're building the future of finance. https://t.co/0FBQFukALm
2021-11-22 15:00:22+00:00,c,"Rick Rieder, CIO of Global Fixed Income at @BlackRock, discusses employment trends in the U.S. https://t.co/v2C8YugLmG #TalksAtGS https://t.co/XfhmpGowiV"
2021-11-20 16:00:08+00:00,c,".@BenFrancis1992, Founder &amp; CEO of @Gymshark, discusses how he started the athleisure brand as a teenager and scaled it to be one of the UK’s most valuable privately held companies: https://t.co/CuSgEKwplJ https://t.co/y4K2uBlUVa"
2021-11-19 19:50:16+00:00,c,"Broadcaster and Journalist @LouiseOnAir, discusses the size and scope of human trafficking in the UK: https://t.co/p0z2fxwGqg #TalksAtGS https://t.co/bBTKGSAvaO"
2021-11-18 21:00:02+00:00,c,"We’re happy to celebrate Margaret Anadu, Global Head of Sustainability and Impact for Goldman Sachs Asset Management, who has been named to Business Insider’s 100 People Transforming Business. 

Read more about the recognition here: https://t.co/1rZEy5iKe1 https://t.co/WJjGn16keF"
2021-11-18 19:00:08+00:00,c,".@RuthDavidsonPC, Baroness of Lundin Links, discusses the need for diverse representation in politics: https://t.co/05AybzLB0o #TalksAtGS https://t.co/OwBINlTeSc"
2021-11-18 15:00:04+00:00,c,The drive to net-zero presents a number of complex questions. Explore our Accelerating Transition podcast as we discuss what can help our low-carbon future: https://t.co/beV8upmOqj #GSsustainability https://t.co/CrnXruVwJq
2021-11-17 20:34:24+00:00,c,We're honored to be recognized on @Forbes Inaugural Green Growth 50 list. Our firm is committed to supporting long-term economic opportunity and prosperity through sustainability. Check out the full list below. #GSsustainability https://t.co/rI4IDnx5d4
2021-11-17 15:08:56+00:00,c,Join us at re:Invent Nov. 29 – Dec. 3! Follow @gsdeveloper for #reInvent updates. 👇 https://t.co/JNNcFrduF9
2021-11-17 13:46:26+00:00,c,"Watch Tim Moe, $GS' chief APAC equity strategist, discuss on @CNBC why active tilts could be key to generating better returns in Asia’s equity markets as corporate earnings moderate into next year: https://t.co/ghwQAy3rOd"
2021-11-16 19:00:14+00:00,c,"Increased investment in innovative solutions will be needed to help the world reach sustainable climate goals. Learn how this will happen in the kickoff episode of “Accelerating Transition,” $GS' new miniseries about climate change: https://t.co/HkDiwuDquc https://t.co/pcFW0Ox4H4"
2021-11-16 17:34:47+00:00,c,"Ethan Brown, @BeyondMeat CEO, speaking at our Carbonomics conference expressed the importance of disclosing carbon footprint information on products and services and how this can enable consumers to make informed decisions.

Learn more: https://t.co/0SW6gcj3Tm

#GSsustainability https://t.co/DA1e27B3Bc"
2021-11-16 15:45:42+00:00,c,"Valérie Baudson, CEO @Amundi_ENG, joined our virtual Carbonomics conference today, sharing insights on how the financial industry can support the tech innovation needed to achieve #netzero

Learn more: https://t.co/K3QPWyfR7L

#GSsustainability https://t.co/nlpz3J7wYJ"
2021-11-16 13:35:52+00:00,c,"Patrick Pouyanné, CEO @TotalEnergies, spoke at our virtual Carbonomics conference today sharing his thoughts on the role of gas in the energy transition.

Learn more: https://t.co/cLIECLzQuB

#GSsustainability https://t.co/ja3HappgVt"
2021-11-16 11:41:55+00:00,c,"Dr Roberto Cingolani, Minister for the Ecological Transition of Italy and #COP26 co-host, delivered a thought-provoking keynote speech at our Carbonomics conference today, explaining the importance of capital markets and sustainable finance in reaching #netzero

#GSsustainability https://t.co/fwz9ksJwPV"
2021-11-16 08:27:57+00:00,c,"Prime Minister @BorisJohnson opened our virtual Carbonomics conference, with CEOs &amp; leaders from corporate management, regulators &amp; investors to help decarbonize the economy &amp; generate sustainable growth.

Learn more: https://t.co/g2jfqDCPdd

#GSsustainability https://t.co/V7nv4GRr6H"
2021-11-16 08:24:19+00:00,c,"Richard Gnodde CEO, Goldman Sachs International, introduces our Carbonomics conference today. Learn more about our Carbonomics research &amp; how it provides the tools for investors to engage with corporates on decarbonization strategies: https://t.co/hWUL6cIVON

#GSsustainability https://t.co/pxG33OrlCF"
2021-11-16 03:00:01+00:00,c,多くの主要国ではコロナ禍からのハイ・ペースでの回復は過去のものとなり、今後は減速が予想されるものの、2022年のグローバル成長率は4.5%と、潜在成長率を１％以上上回る強い成長をゴールドマン・サックスは予想しています。日本の予想も含めて詳しくはレポートで。https://t.co/JSErF7lKTf https://t.co/k2Uly4SVyd
2021-11-16 00:41:18+00:00,c,"Watch Andrew Tilton, $GS' chief APAC economist, discuss the macroeconomic outlook for China and the broader region into 2022 on @BloombergTV: https://t.co/TvI6wrSrUV https://t.co/sVMvPXheoV"
2021-11-15 18:40:14+00:00,c,"Jan Hatzius, chief economist at $GS, talks about the trajectory of inflation: https://t.co/tKodNEot5d #TalksAtGS https://t.co/fgrelwpQLX"
2021-11-15 08:52:09+00:00,c,"Watch Naohiko Baba, $GS' chief Japan economist, discuss Q3 GDP data, exports, inflation and the forward trajectory for Japan’s economy on @CNBC: https://t.co/b9t0d0O84F"
2021-11-12 17:16:17+00:00,c,"Vanya Kasanof, a managing director in our Investment Banking Division, was named as a Crain’s NY Notable Veteran Executive this week. In this Q&amp;A, Vanya discusses his career path &amp; advocacy for veterans navigating a career change. Check it out: https://t.co/5Mv1XodBuq"
2021-11-12 09:05:13+00:00,c,"Watch Hui Shan, $GS' chief China economist, discuss the macroeconomic outlook for China into 2022 on @CNBC: https://t.co/gPInTH5iVu"
2021-11-11 21:47:55+00:00,c,"Watch Andrew Boak, $GS' chief ANZ economist, discuss the outlook for Australia’s labor market on @CNBC: 
https://t.co/5uiMKKge3q"
2021-11-11 17:56:32+00:00,c,@gsdeveloper @FINOSFoundation Congrats team! 👏
2021-11-11 17:00:02+00:00,c,Are you a veteran looking to transition into the civilian workforce? Apply to our Veterans Integration Program today: https://t.co/VQ1X86En0Z
2021-11-11 17:00:01+00:00,c,"In honor of #VeteransDay, our Veterans Network Regional Heads discuss how the firm supports Veterans around the world. Matt Gibson, Adam Crook and Krishnamurthy Vaidyanathan share their backgrounds, career paths and goals for the Network. Learn more here: https://t.co/1Zaer8WwZp"
2021-11-11 07:35:52+00:00,c,"We're honored to receive Gold in the PRIDE Index 2021 for LGBTQ+ workplace inclusion in Japan 🥇 In this op-ed, $GS' head of prime services in Japan @masayanagisawa discusses the index and Japan's progress towards a more inclusive future 🌈 : https://t.co/pvzdsRahzG"
2021-11-10 20:00:13+00:00,c,How is remote work affecting the threat of cyberattacks? $GS' chief security experts explain: https://t.co/AwK0gdEtmr https://t.co/zm9ffTQ0se
2021-11-10 16:00:02+00:00,c,"We are PROUD to celebrate Bentley de Beyer, Maeve DuVally, Sean Navin and Vihaan Peethambar who have been named as OUTstanding LGBT+ Role Models. 

Keep breaking down barriers, and congratulations to all! https://t.co/gbwOk4acYD https://t.co/pexNgOE8lI"
2021-11-10 01:50:21+00:00,c,What would it mean for investors and their portfolio allocations if current EM mandates were split into China and EM EX-China strategies? Read the $GS Research view in this report: https://t.co/hvtKvsSa7T
